Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Baao	Baao	Baao	Baao	Baao	Bato	Bato	Bato	Bato	Bato
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Monoraphidium	54.0	55.0	56.0	57.5	59.0	188.0	188.0	188.0	188.0	188.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Chlorogonium	1.0	1.0	1.0	1.0	1.0	245.0	245.0	245.0	245.0	245.0
Eukaryota;Stramenopiles;Ochrophyta;Synurophyceae;Synurales;Synurales_X;Synurales_XX	26.0	26.0	26.0	437.0	848.0	143.0	143.0	143.0	143.0	143.0
Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae_C;Strobilidiidae_C_X	1.0	3.0	5.0	9.0	13.0	87.0	87.0	87.0	87.0	87.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Rhizophydium	1.0	1.0	1.0	1.0	1.0	16.0	16.0	16.0	16.0	16.0
Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera_X;Rotifera_XX;Ptygura	1.0	1.0	1.0	11.5	22.0	135.0	135.0	135.0	135.0	135.0
Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;	1.0	138.0	275.0	307.0	339.0	384.0	384.0	384.0	384.0	384.0
Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera_X;Rotifera_XX;Polyarthra	1.0	1.0	1.0	64.5	128.0	217.0	217.0	217.0	217.0	217.0
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-B2;Chrysosphaerella	444.0	542.5	641.0	748.5	856.0	43.0	43.0	43.0	43.0	43.0
Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;Dictyosphaerium	1.0	1.0	1.0	1.0	1.0	87.0	87.0	87.0	87.0	87.0
Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;Nannochloris	355.0	828.0	1301.0	1650.0	1999.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Hafniomonas	1958.0	2790.0	3622.0	6308.0	8994.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Eunotia	1.0	1.0	1.0	9.0	17.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;;	3021.0	3187.5	3354.0	5731.0	8108.0	74.0	74.0	74.0	74.0	74.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Spermatozopsis	147.0	149.0	151.0	384.0	617.0	28.0	28.0	28.0	28.0	28.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Gromochytrium	1.0	1.0	1.0	8.0	15.0	325.0	325.0	325.0	325.0	325.0
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Discostella	1.0	1.0	1.0	1.0	1.0	61.0	61.0	61.0	61.0	61.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Wislouchiella	389.0	476.5	564.0	582.5	601.0	1159.0	1159.0	1159.0	1159.0	1159.0
Eukaryota;Alveolata;Ciliophora;Litostomatea;Haptoria_4;Didiniidae;Didiniidae_X	74.0	84.5	95.0	269.5	444.0	28.0	28.0	28.0	28.0	28.0
Eukaryota;Stramenopiles;Pseudofungi;Pirsonia_Clade;Pirsonia_Clade_X;Pirsonia_Clade_XX;Pirsonia	1.0	36.5	72.0	73.5	75.0	37.0	37.0	37.0	37.0	37.0
Eukaryota;Stramenopiles;Pseudofungi;Hyphochytriomyceta;Hyphochytrydiales;Hyphochrytriaceae;Rhizidiomyces	8.0	10.5	13.0	16.5	20.0	20.0	20.0	20.0	20.0	20.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Chlorochytrium	1.0	5.0	9.0	10.0	11.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Alveolata;Ciliophora;Litostomatea;Haptoria_5;Pleurostomatida;Pleurostomatida_X	1.0	1.0	1.0	14.0	27.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-F;Chrysophyceae_Clade-F_X	1.0	1.0	1.0	21.5	42.0	54.0	54.0	54.0	54.0	54.0
Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptophyceae_X;Basal_Cryptophyceae-1;Basal_Cryptophyceae-1_X	1.0	1.0	1.0	1.0	1.0	226.0	226.0	226.0	226.0	226.0
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-F;Monas	105.0	157.5	210.0	253.5	297.0	16.0	16.0	16.0	16.0	16.0
Eukaryota;Alveolata;Perkinsea;Perkinsida;Perkinsida_X;Perkinsida_XX;	14.0	19.0	24.0	25.5	27.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;;;	14.0	37.5	61.0	64.5	68.0	13.0	13.0	13.0	13.0	13.0
Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Pansomonadida;Agitatidae;Agitatidae_X	38.0	43.0	48.0	56.0	64.0	32.0	32.0	32.0	32.0	32.0
Eukaryota;Alveolata;Ciliophora;Colpodea;Colpodea_X;Colpodida;Colpoda	1.0	1.0	1.0	4.5	8.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Stramenopiles;Sagenista;MAST-6;MAST-6_X;MAST-6_XX;MAST-6_XXX	1.0	1.0	1.0	1.0	1.0	7.0	7.0	7.0	7.0	7.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Sphaeropleales_X;Ourococcus	1.0	1.0	1.0	14.5	28.0	15.0	15.0	15.0	15.0	15.0
Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Pansomonadida;Pansomonadida_X;Pansomonadida_XX	157.0	408.0	659.0	673.5	688.0	1.0	1.0	1.0	1.0	1.0
