	W	Reject null hypothesis
21f4c19eeb1281a391a826d850c3c213	352	True
c358afe1ec90a2377b512c9743c4f329	352	True
f197d751f834180fb002ae1d5811b129	352	True
659a62b6d32888a633e6a98cc571a078	352	True
b21084a083b688aa500822b451c4258e	352	True
2e68e0c04a54dfa481959b63dd9041e4	352	True
c8853c04b30d05124a747a9bb93e4f32	352	True
0715ce656dd8ad446a072dd3fc7100c1	352	True
85f2ba97ec196ee98d9d319c5ec635c0	352	True
f376fcdb4e9b803e11793c50a5ec737e	352	True
7085c63257cec2dc3cd0cdf30bb4b7eb	352	True
2cb95239bd22d5613c0453991ab7dd94	352	True
b222b287609fd571b52d9d795f544504	352	True
c594d0dcf26ee2c256ccdedcf3dbab41	352	True
b61f41d9e4c25a9dac1f12b4af9c1426	352	True
348c281eecef6b7acd21ce1ead575e37	352	True
46418ebac833552570bab7f60d8b2654	352	True
c9aa5fded47a734dbc5e7edf420fad34	352	True
5732ac262ff9da93acf9cbe21394b3df	352	True
f63d7fe655ac3abbc2b0211a205f3451	352	True
9b7555207d8d7679736da618bf1265cc	352	True
5c130a3f4b489fb300be2220bbe721fa	352	True
c9d2e55893cb5114185d5404866e0592	352	True
1c6fe57f5e726e70536a3bbe6b1680f0	352	True
906c015aa36cb4e3eb9f35521ef1eec2	352	True
1672518b22e9e7d960e00e2c6cf29f15	352	True
3cec029f3afad1ca7f47b26ca6f090eb	352	True
e7ae79ab5cf741ac163c9d24d2e3d156	351	True
d4a0d0ff19a8c32a019da621538f478b	351	True
1c37199f6fe19f98e84821c0455e7e92	351	True
4e6c726f57ed96ce4d93589d5ed76bf8	351	True
027abd1ed671ed743dfb20d8adee55fa	351	True
bf8cf8fa103c40ee0e732066cec33a1e	351	True
8908f273756dbd7fa85ab25ee7e9b81f	351	True
718f74f92d21b69e02d7db4526c78002	351	True
7c041fdac24f3031316e80b5a4417f9f	351	True
15b4066d4da31f1ccd7b20a4143a946f	351	True
aea7d03a05fe160027f56bb0c05f47df	350	True
5988b627b1e025ce48794f7fa5ca3ab4	350	True
766567b9d3b1f1e2d15074d61ec26c51	350	True
7c41d05324a7e67451ce5f74c5ff536a	350	True
7c2bbd788477855d2aa257e4f3862e12	350	True
b77596b0f8bafcba9825a2f3b93159b4	350	True
db1059dbd659443ed0803ca7ff3e7953	350	True
8b87ffe8a8fabdc16d2f92d15ca51424	350	True
7cb1f7b4543a708b694ca3940971dd19	350	True
81ee55b0f6452f79d7b0aed67cd0738e	350	True
3cf70dab3c2860a054f6c7d3062cd8d0	350	True
3065b66da9830c5c7d596fccd09f5dbf	349	True
7764b11d9359c6294f39473cbcb4a449	349	True
1750826acb9aeb7fe994d4fe00305871	349	True
1c7a50031ac22f86f10bb951d1d6160d	349	True
88bd72af2a8e206f7a6644e6f7baeef4	349	True
30d455a53f371ad9b9c46630ca858fe1	349	True
